,delta_t,delta_r,value
319,3.0,17500,0.08889055313794358
320,3.0,20000,0.08603744525703672
321,3.0,22500,0.08857171381777551
322,3.0,25000,0.08812799093209644
323,3.0,27500,0.09015794291209467
324,3.0,32500,0.09476509784622777
325,3.0,35000,0.09073988883949724
326,3.0,37500,0.09140592234451184
327,3.0,40000,0.09388844309452526
328,3.25,0,0.08455483900067229
329,3.25,2500,0.08474343297941722
330,3.25,5000,0.08548115065016848
331,3.25,7500,0.08694417939778543
332,3.25,10000,0.08723217143324913
333,3.25,12500,0.08696775123662182
334,3.25,15000,0.08957332979657728
335,3.25,17500,0.08943145318138779
336,3.25,20000,0.09183559619290182
337,3.25,22500,0.09058338997582904
338,3.25,25000,0.0929397769140694
339,3.25,27500,0.09327771286544717
340,3.25,30000,0.09640354337261403
341,3.25,32500,0.09443066450536275
342,3.25,35000,0.09588885695999139
343,3.25,37500,0.09322909774134303
344,3.25,40000,0.09669414361352935
345,3.5,0,0.08654485310088944
346,3.5,2500,0.08854872196639718
347,3.5,5000,0.0900312163853112
348,3.5,7500,0.08948334847849182
349,3.5,10000,0.0900932889511763
350,3.5,12500,0.09206118763340765
351,3.5,15000,0.0907797342677652
352,3.5,17500,0.092062615476185
353,3.5,20000,0.09272897294454463
354,3.5,22500,0.09191665249190795
355,3.5,25000,0.09312364749796131
356,3.5,27500,0.09288062697123678
357,3.5,30000,0.0937237201699137
358,3.5,32500,0.09460690344869072
359,3.5,35000,0.09537078708086177
360,3.5,37500,0.09892237082009814
361,3.5,40000,0.09787187550263088
362,3.75,0,0.09028642460369163
363,3.75,2500,0.08944060482163341
364,3.75,5000,0.09107664448717578
365,3.75,7500,0.09154736533905083
366,3.75,10000,0.09225380858606247
367,3.75,12500,0.09110881113583158
368,3.75,15000,0.09381776051646806
369,3.75,17500,0.09548971739279377
370,3.75,20000,0.0949686980213027
371,3.75,22500,0.09634138436547257
372,3.75,25000,0.09691605402204484
373,3.75,27500,0.09728853820634153
374,3.75,30000,0.09668598725607325
375,3.75,32500,0.09692985115985486
376,3.75,35000,0.09893234709963394
377,3.75,37500,0.1010726995158473
378,3.75,40000,0.09923646470784142
379,4.0,2500,0.09139258917312265
380,4.0,5000,0.09344404505937653
381,4.0,7500,0.09087900864332976
382,4.0,10000,0.09457355160569225
383,4.0,12500,0.09749530406535367
384,4.0,15000,0.09672098478337166
385,4.0,17500,0.09601635132350239
386,4.0,22500,0.09743717338730473
387,4.0,25000,0.09787294868275342
388,4.0,27500,0.09689817222391373
389,4.0,30000,0.10018694945512774
390,4.0,32500,0.10113789463341849
391,4.0,35000,0.1028307158565056
392,4.0,37500,0.1034734562325168
